O3,CO,NO,NO2,Nox,SO2,PM10,PM2.5
17.916,1.627,96.361,44.057,137.481,4.928,58.171,
23.663,1.112,49.96,49.527,77.87,4.699,57.928,
24.431,0.94,90.002,78.82,118.716,3.895,45.985,
20.02,1.12,135.432,97.228,157.393,6.57,37.925,
14.698,2.454,275.787,163.35,312.028,12.228,76.684,
23.412,1.452,168.734,92.812,193.147,9.44,92.112,
21.934,1.183,100.455,56.893,120.949,5.907,64.92,
26.836,1.117,75.977,45.335,84.502,7.673,53.224,
6.795,2.022,,,,7.196,81.225,
9.745,1.454,,,,4.482,45.527,
18.504,1.17,,,,3.686,32.908,
16.614,1.251,,,,7.288,88.82,
15.578,1.458,,,,13.193,121.162,
19.72,1.76,42.023,72.459,114.482,8.89,126.292,
10.332,2.669,124.076,53.568,176.783,6.725,177.022,
14.941,1.554,69.418,48.92,118.289,4.164,126.813,
22.452,0.838,21.419,34.142,55.551,3.111,45.916,
31.699,0.777,15.32,25.789,41.07,3.07,30.946,
17.479,1.009,20.878,35.974,56.849,2.4,22.427,13.041
22.797,0.589,9.647,24.414,34.058,2.275,14.173,9.631
24.736,0.482,6.274,16.216,22.483,2.244,19.35,10.559
15.529,0.672,15.15,25.831,40.981,1.929,10.706,6.157
15.975,0.842,24.786,29.783,54.569,3.38,8.795,8.21
24.007,0.646,6.428,19.08,25.507,2.063,,9.122
23.687,0.63,5.915,23.04,28.956,2.119,,7.66
26.035,0.554,5.216,16.812,22.027,2.407,,8.706
24.931,0.512,7.204,20.656,27.86,2.285,,8.184
21.105,0.736,8.17,21.202,29.372,1.818,,9.375
19.68,1.041,22.092,33.421,55.513,2.236,1.337,9.164
27.654,0.574,8.306,21.138,29.443,2.283,7.453,5.597
21.374,0.56,6.884,24.301,31.186,3.228,17.777,10.377
22.313,0.612,8.802,25.374,34.177,2.499,12.63,21.781
21.175,0.917,15.778,29.942,45.7,2.406,23.625,21.625
18.425,0.871,21.31,31.471,52.783,2.504,23.26,14.611
19.59,0.528,12.475,31.659,44.133,2.047,14.899,6.903
17.018,0.769,17.869,39.112,56.986,3.621,19.683,11.759
16.557,0.877,21.427,37.262,58.69,2.521,32.433,14.39
8.504,0.897,35.787,34.925,70.7,2.075,15.883,10.583
16.156,0.434,12.053,23.624,35.675,2.021,8.509,4.388
8.537,0.565,20.38,32.36,52.74,2.03,10.997,7.936
15.621,0.68,19.051,34.174,53.224,2.215,20.482,10.511
22.323,0.726,15.982,30.936,46.918,2.326,,10.366
19.541,0.722,14.272,33.358,47.63,2.67,,9.497
21.947,0.629,17.215,29.504,46.719,4.196,30.009,13.217
28.016,0.416,6.541,24.001,30.534,2.853,19.052,10.07
28.463,0.59,6.737,29.402,36.139,3.366,24.459,11.119
28.733,0.535,6.385,23.175,29.532,2.362,23.709,9.871
27.265,0.768,13.319,28.69,41.999,2.439,10.467,7.793
26.533,0.729,8.962,31.99,40.944,2.717,18.287,11.413
29.358,0.682,11.312,33.444,44.747,5.305,25.216,16.397
21.596,0.926,23.698,41.905,65.555,3.445,22.262,14.886
17.739,0.903,27.535,39.467,67.001,3.218,28.996,15.822
17.746,0.83,19.097,33.825,52.82,3.193,28.562,20.691
24.004,0.509,9.785,24.261,34.044,2.543,21.417,10.981
18.183,0.996,40.137,39.422,79.554,3.331,29.013,24.076
16.206,0.99,25.123,34.614,59.77,2.706,27.2,18.028
17.341,1.073,38.559,40.475,79.034,2.316,18.177,13.683
19.159,0.868,23.908,36.697,60.605,2.799,35.317,11.935
20.578,0.678,17.952,34.018,51.971,2.797,25.006,9.103
24.651,0.495,10.725,24.307,35.034,2.216,27.423,10.684
18.349,1.04,26.09,40.892,66.982,2.509,29.592,10.012
16.696,1,29.681,42.8,72.475,3.045,,16.148
22.196,0.717,16.613,30.296,46.896,2.299,44.778,15.37
16.023,1.211,37.273,42.783,80.058,3.394,44.301,9.23
19.346,0.87,28.243,41.313,69.553,5.301,69.213,20.115
18.429,0.585,17.981,31.032,49.015,2.874,118.814,29.78
22.492,0.851,16.47,31.589,48.059,2.516,68.426,11.29
22.792,0.656,12.348,30.189,42.532,2.57,33.482,7.04
21.774,0.943,34.809,38.386,73.197,3.025,50.138,10.253
23.686,0.599,17.338,30.758,48.081,3.013,55.234,9.056
18.721,0.936,24.12,39.613,63.728,3.061,143.576,9.238
14.736,0.554,25.231,35.222,60.451,2.771,69.309,6.353
19.2,0.724,21.092,36.405,57.496,3.74,33.463,8.637
24.064,0.711,24.622,33.746,58.366,3.731,49.583,27.558
26.039,0.606,9.032,27.855,36.885,3.905,42.334,19.26
22.831,0.763,14.806,36.33,51.135,4.522,46.815,18.142
20.702,1.074,38.952,45.699,84.648,5.332,,25.877
21.565,0.577,20.496,30.455,50.95,4.547,,21.885
25.543,0.483,7.148,24.282,31.428,3.714,55.037,24.051
26.974,0.646,8.119,22.669,30.787,2.311,20.291,10.923
37.015,0.935,12.559,39.688,52.248,4.394,50.061,33.915
44.81,0.919,6.034,41.146,47.181,5.06,65.466,51.462
22.963,1.315,25.628,47.808,73.408,4.08,65.142,40.949
27.565,0.536,9.833,29.614,39.445,4.691,71.828,20.026
29.435,0.54,8.46,22.039,30.497,3.407,49.082,17.809
26.122,0.953,21.02,34.259,55.259,4.429,81.881,22.311
28.201,0.575,10.666,27.221,37.887,3.511,73.134,21.232
29.677,0.575,9.379,23.109,32.489,3.255,56.265,17.196
26.169,0.72,11.158,23.381,34.538,2.625,47.71,13.681
22.528,1.166,14.377,29.394,43.766,2.465,58.441,17.908
19.509,1.496,35.981,44.065,80.021,3.313,68.033,23.271
19.921,1.699,51.327,54.048,105.314,4.687,65.983,23.171
19.335,0.974,29.481,39.529,69.008,3.895,68.464,22.084
23.445,0.945,15.554,32.135,47.683,3.362,76.316,23.964
25.506,1.098,19.761,35.956,55.718,3.012,58.683,23.259
17.526,1.482,41.21,44.178,85.387,3.547,63.039,23.262
18.76,1.164,34.398,45.666,80.066,3.469,81.426,24.582
17.373,0.688,15.486,38.9,54.386,5.065,70.229,17.823
4.86,0.612,13.553,30.017,43.557,3.814,94.972,23.399
32.111,0.603,10.201,29.738,39.937,2.575,58.898,14.745
28.736,0.772,16.04,30.805,46.836,3.193,52.874,15.584
29.513,0.647,8.53,27.114,35.622,5.495,52.691,13.953
,0.62,5.766,20.602,26.367,2.606,51.353,17.735
,1.853,47.906,53.726,101.633,4.229,74.251,27.659
,1.542,44.337,52.758,97.095,4.918,74.281,22.608
,1.118,31.623,52.296,83.915,4.33,80.324,23.003
,1.053,32.33,46.45,78.778,3.711,84.423,24.368
,0.464,7.252,23.867,31.116,3.281,66.351,16.401
31.034,0.649,11.252,32.096,43.348,4.995,76.758,19.037
35.717,0.597,11.25,26.069,37.308,4.384,66.7,15.974
27.361,1.356,41.14,43.436,84.576,4.521,76.196,19.221
29.293,0.767,17.939,39.834,57.722,3.898,84.256,15.61
34.758,0.926,24.564,43.414,67.942,4.281,72.777,23.913
49.425,0.852,14.846,35.93,50.696,3.871,74.663,29.748
42.941,0.913,18.409,41.768,60.064,6.078,88.339,37.391
42.059,0.924,22.388,35.03,57.191,3.971,65.347,31.649
36.836,0.969,22.748,44.857,67.593,3.91,125.841,39.753
29.092,0.897,25.525,42.546,68.029,3.757,106.658,29.675
25.428,0.616,19.751,31.952,51.373,6.815,91.484,28.008
29.532,1.148,40.183,43.357,83.515,4.535,97.863,28.739
42.398,0.879,18.148,37.48,55.593,8.047,93.744,30.697
33.706,1.094,23.555,45.805,69.148,5.771,89.984,52.98
